"","date","prod.cat","month.basket.cost.bw","month.basket.cost.cw","CPI"
"1",2023-09-07,"бакалія",46.4109111111111,46.4109111111111,0
"2",2023-09-07,"овочі та фрукти",57.017846969697,57.017846969697,0
"3",2023-09-07,"молоко, молочні продукти",180.057660714286,180.057660714286,0
"4",2023-09-07,"м'ясо та м'ясопродукти, птиця",212.159791666667,212.159791666667,0
"5",2023-09-07,"кондитерські вироби",208.248083333333,208.248083333333,0
"6",2023-09-07,"риба",97.0074444444444,97.0074444444444,0
"7",2023-09-07,"яйця",91.1771666666667,91.1771666666667,0
"8",2023-09-21,"бакалія",46.4109111111111,46.0607425925926,-0.00754496109072684
"9",2023-09-21,"овочі та фрукти",57.017846969697,64.0909545454546,0.124050765710545
"10",2023-09-21,"молоко, молочні продукти",180.057660714286,157.515773809524,-0.125192601166419
"11",2023-09-21,"м'ясо та м'ясопродукти, птиця",212.159791666667,215.012888888889,0.0134478696448989
"12",2023-09-21,"кондитерські вироби",208.248083333333,192.24075,-0.0768666538347492
"13",2023-09-21,"риба",97.0074444444444,64.4985833333333,-0.335117178864852
"14",2023-09-21,"яйця",91.1771666666667,91.85,0.00737940602819065
"15",2023-09-28,"бакалія",46.4109111111111,45.6253328703704,-0.0169265851915729
"16",2023-09-28,"овочі та фрукти",57.017846969697,61.7099204545455,0.0822913128821255
"17",2023-09-28,"молоко, молочні продукти",180.057660714286,155.925202380952,-0.134026279346295
"18",2023-09-28,"м'ясо та м'ясопродукти, птиця",212.159791666667,213.140222222222,0.00462118928310391
"19",2023-09-28,"кондитерські вироби",208.248083333333,193.245,-0.0720442805195887
"20",2023-09-28,"риба",97.0074444444444,61.4838055555555,-0.366194977017801
"21",2023-09-28,"яйця",91.1771666666667,93.4211666666667,0.0246114250095512
"22",2023-10-05,"бакалія",46.4109111111111,45.884887962963,-0.0113340405425097
"23",2023-10-05,"овочі та фрукти",57.017846969697,76.4353181818182,0.340550761631545
"24",2023-10-05,"молоко, молочні продукти",180.057660714286,160.326202380952,-0.109584109085162
"25",2023-10-05,"м'ясо та м'ясопродукти, птиця",212.159791666667,216.841902777778,0.0220687957615804
"26",2023-10-05,"кондитерські вироби",208.248083333333,190.298333333333,-0.0861940706136954
"27",2023-10-05,"риба",97.0074444444444,61.7115,-0.363847791750232
"28",2023-10-05,"яйця",91.1771666666667,98.1878333333333,0.0768905957814732
"29",2023-10-12,"бакалія",46.4109111111111,46.044200462963,-0.00790138869004786
"30",2023-10-12,"овочі та фрукти",57.017846969697,65.5316098484848,0.149317509012795
"31",2023-10-12,"молоко, молочні продукти",180.057660714286,165.525386904762,-0.0807090003939544
"32",2023-10-12,"м'ясо та м'ясопродукти, птиця",212.159791666667,219.224222222222,0.0332976880306084
"33",2023-10-12,"кондитерські вироби",208.248083333333,182.4225,-0.124013546343164
"34",2023-10-12,"риба",97.0074444444444,64.0858611111111,-0.339371720612508
"35",2023-10-12,"яйця",91.1771666666667,98.9688333333333,0.0854563368387188
"36",2023-10-19,"бакалія",46.4109111111111,46.0534564814815,-0.00770195243040708
"37",2023-10-19,"овочі та фрукти",57.017846969697,68.9762121212121,0.209730212329319
"38",2023-10-19,"молоко, молочні продукти",180.057660714286,164.554821428571,-0.0860993041018904
"39",2023-10-19,"м'ясо та м'ясопродукти, птиця",212.159791666667,220.305708333333,0.038395195445257
"40",2023-10-19,"кондитерські вироби",208.248083333333,185.57175,-0.108890958180088
"41",2023-10-19,"риба",97.0074444444444,64.9643611111111,-0.330315714601514
"42",2023-10-19,"яйця",91.1771666666667,95.3076666666667,0.0453019122112078
"43",2023-10-26,"бакалія",46.4109111111111,45.9783986111111,-0.00931919864629537
"44",2023-10-26,"овочі та фрукти",57.017846969697,78.7346174242424,0.380876718584046
"45",2023-10-26,"молоко, молочні продукти",180.057660714286,160.740482142857,-0.107283291889929
"46",2023-10-26,"м'ясо та м'ясопродукти, птиця",212.159791666667,218.898513888889,0.0317624851027838
"47",2023-10-26,"кондитерські вироби",208.248083333333,189.840083333333,-0.0883945710584772
"48",2023-10-26,"риба",97.0074444444444,61.7358611111111,-0.363596665548005
"49",2023-10-26,"яйця",91.1771666666667,99.1301666666667,0.0872257856956145
"50",2023-11-02,"бакалія",46.4109111111111,45.6880277777778,-0.0155757195027415
"51",2023-11-02,"овочі та фрукти",57.017846969697,78.8370795454545,0.382673737002973
"52",2023-11-02,"молоко, молочні продукти",180.057660714286,163.170517857143,-0.0937874167094686
"53",2023-11-02,"м'ясо та м'ясопродукти, птиця",212.159791666667,219.419986111111,0.0342204071158367
"54",2023-11-02,"кондитерські вироби",208.248083333333,189.655916666667,-0.0892789329393589
"55",2023-11-02,"риба",97.0074444444444,64.8271388888889,-0.331730268123752
"56",2023-11-02,"яйця",91.1771666666667,96.0923333333333,0.0539078680152013
